City,Cases Reported,Persons Injured,Persons Died
AGRA,590,157,528
AHMEDABAD,1808,1347,577
AMRITSAR,147,73,110
ASANSOL,406,173,344
AURANGABAD,604,402,265
BENGALURU,4980,4162,915
BHOPAL,2968,2196,258
CHANDIGARH (CITY),182,171,67
CHENNAI,3653,3958,503
COIMBATORE,1161,993,305
DELHI (CITY),6543,5080,2085
DHANBAD,195,70,126
DURG BHILAINAGAR,807,649,157
FARIDABAD,636,485,307
GHAZIABAD,928,661,403
GWALIOR,1267,1138,207
HYDERABAD,2943,2596,335
INDORE,3580,2768,310
JABALPUR,2350,2606,299
JAIPUR,3082,2333,1017
JAMSHEDPUR,155,134,72
JODHPUR,699,573,270
KANNUR,1562,2018,148
KANPUR,1776,985,791
KOCHI,2610,2788,202
KOLKATA,1129,925,204
KOLLAM,2135,2318,251
KOTA,611,642,135
KOZHIKODE,2045,2266,192
LUCKNOW,1235,784,547
LUDHIANA,504,209,402
MADURAI,768,583,264
MALAPPURAM,959,1194,111
MEERUT,496,404,198
MUMBAI,414,1924,414
NAGPUR,1276,1211,371
NASIK,261,150,261
PATNA,322,166,200
PRAYAGRAJ,1297,865,582
PUNE,546,185,437
RAIPUR,1087,663,168
RAJKOT,505,380,189
RANCHI,263,192,117
SRINAGAR,476,491,55
SURAT,685,461,344
THIRUVANANTHAPURAM,2106,2326,137
THRISSUR,2456,3029,243
TIRUCHIRAPPALLI,619,652,165
VADODARA,573,404,206
VARANASI,237,158,264
VASAI VIRAR,365,246,154
VIJAYAWADA,1522,1416,373
VISHAKHAPATNAM,1297,1222,326
TOTAL (CITIES),71821,63982,17911
